# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_NEGATIVE_REGULATION_OF_...612       SET       5     -0.27219   -0.0043835      0.39876      0.75257 GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...613       SET       9      0.62498     0.013502      0.27601     0.011784 GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION
GOBP_NEGATIVE_REGULATION_OF_...614       SET      55      0.04081    0.0021769      0.11115      0.35675 GOBP_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION
GOBP_NEGATIVE_REGULATION_OF_...615       SET      96     0.082518    0.0058092     0.083781      0.16234 GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...616       SET      34     0.068044    0.0028554      0.13656      0.30915 GOBP_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...617       SET       6      0.22182    0.0039132      0.29306      0.22456 GOBP_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING
GOBP_NEGATIVE_REGULATION_OF_...618       SET      10     -0.28287   -0.0064414      0.23627      0.88438 GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...619       SET      14       0.1777    0.0047876      0.23272      0.22256 GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...620       SET      27    -0.071077   -0.0026584      0.14471      0.68834 GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION
GOBP_NEGATIVE_REGULATION_OF_...621       SET      50    -0.074681   -0.0037988      0.11196      0.74763 GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...622       SET      14     -0.15327   -0.0041294      0.22975      0.74765 GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION
GOBP_NEGATIVE_REGULATION_OF_...623       SET      14    -0.069273   -0.0018663      0.24118      0.61303 GOBP_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...624       SET      16    -0.050041   -0.0014412      0.22762        0.587 GOBP_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...625       SET       3     -0.43649   -0.0054452      0.50533      0.80614 GOBP_NEGATIVE_REGULATION_OF_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE
GOBP_NEGATIVE_REGULATION_OF_...626       SET       6     -0.15974    -0.002818      0.26836      0.72416 GOBP_NEGATIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...627       SET      11      -0.2844   -0.0067923      0.24138      0.88064 GOBP_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS
GOBP_NEGATIVE_REGULATION_OF_...628       SET      27      0.43079     0.016112      0.14191    0.0012019 GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...629       SET      22     -0.26691   -0.0090124      0.16667      0.94534 GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_POPULATION_MAINTENANCE
GOBP_NEGATIVE_REGULATION_OF_...630       SET      22      0.22553    0.0076153      0.17288     0.096037 GOBP_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...631       SET       6      0.11416    0.0020138      0.30841      0.35564 GOBP_NEGATIVE_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...632       SET      26      0.17221    0.0063209      0.15601      0.13483 GOBP_NEGATIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...633       SET      13     0.053217    0.0013816      0.22378      0.40602 GOBP_NEGATIVE_REGULATION_OF_STEROL_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...634       SET      48       0.0822     0.004097      0.10601      0.21905 GOBP_NEGATIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE
GOBP_NEGATIVE_REGULATION_OF_...635       SET      23     -0.27726   -0.0095719      0.15473      0.96341 GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...636       SET      36      0.21476     0.009273      0.13571     0.056771 GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...637       SET       7     0.076306    0.0014539      0.29575       0.3982 GOBP_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION
GOBP_NEGATIVE_REGULATION_OF_...638       SET      13     -0.23251   -0.0060364       0.2385      0.83518 GOBP_NEGATIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING
GOBP_NEGATIVE_REGULATION_OF_...639       SET     146    0.0011669   0.00010117      0.06233      0.49253 GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_...640       SET       8     0.064228    0.0013083       0.3246      0.42157 GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY
GOBP_NEGATIVE_REGULATION_OF_...641       SET      11    -0.029986  -0.00071616      0.24065      0.54958 GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_...642       SET      54     -0.10868   -0.0057444      0.11294      0.83203 GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GOBP_NEGATIVE_REGULATION_OF_...643       SET       6      -0.2537   -0.0044756      0.34069      0.77176 GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC
GOBP_NEGATIVE_REGULATION_OF_...644       SET      10     -0.46527    -0.010595      0.26921      0.95802 GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC
GOBP_NEGATIVE_REGULATION_OF_...645       SET       4     0.040992   0.00059047      0.35143      0.45357 GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS
GOBP_NEGATIVE_REGULATION_OF_...646       SET       4       0.5755    0.0082898      0.29781      0.02666 GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION
GOBP_NEGATIVE_REGULATION_OF_...647       SET      19      0.14845    0.0046585      0.19739      0.22602 GOBP_NEGATIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE
GOBP_NEGATIVE_REGULATION_OF_...648       SET      12     0.032117   0.00080113      0.23869      0.44648 GOBP_NEGATIVE_REGULATION_OF_TELOMERASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...649       SET       8     -0.28212   -0.0057466      0.37045      0.77684 GOBP_NEGATIVE_REGULATION_OF_TELOMERE_CAPPING
GOBP_NEGATIVE_REGULATION_OF_...650       SET      35       0.1359    0.0057858      0.14605      0.17606 GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE
GOBP_NEGATIVE_REGULATION_OF_...651       SET      20      0.31149     0.010029      0.18828     0.049036 GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE
GOBP_NEGATIVE_REGULATION_OF_...652       SET      27      0.20056    0.0075013      0.16562      0.11296 GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING
GOBP_NEGATIVE_REGULATION_OF_...653       SET       9      0.15316    0.0033088      0.21948      0.24265 GOBP_NEGATIVE_REGULATION_OF_THYMOCYTE_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...654       SET      22    -0.054207   -0.0018303      0.16583      0.62812 GOBP_NEGATIVE_REGULATION_OF_TISSUE_REMODELING
GOBP_NEGATIVE_REGULATION_OF_...655       SET       7      0.10889    0.0020749      0.29276      0.35496 GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...656       SET       9      0.33448    0.0072261      0.26045      0.09954 GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...657       SET      18     -0.10742   -0.0032813      0.18251      0.72193 GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...658       SET      23     -0.24203   -0.0083558       0.1783      0.91267 GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING
GOBP_NEGATIVE_REGULATION_OF_...659       SET      54     -0.15783   -0.0083426      0.11663        0.912 GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING
GOBP_NEGATIVE_REGULATION_OF_...660       SET       9     0.075505    0.0016312      0.25979      0.38566 GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_COMPETITIVE_PROMOTER_BINDING
GOBP_NEGATIVE_REGULATION_OF_...661       SET       9     -0.14685   -0.0031726      0.27079      0.70619 GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I
GOBP_NEGATIVE_REGULATION_OF_...662       SET     872      0.06693      0.01391     0.027907    0.0082401 GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II
GOBP_NEGATIVE_REGULATION_OF_...663       SET      10    -0.039171    -0.000892      0.24155      0.56441 GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS
GOBP_NEGATIVE_REGULATION_OF_...664       SET      16     -0.46349    -0.013348      0.20346      0.98863 GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING
GOBP_NEGATIVE_REGULATION_OF_...665       SET     260    -0.028389   -0.0032749     0.049783      0.71574 GOBP_NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...666       SET       6    -0.062151   -0.0010964      0.39112      0.56313 GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...667       SET      11     -0.29606   -0.0070709      0.26832      0.86507 GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...668       SET      89     -0.07672   -0.0052013     0.086003      0.81381 GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...669       SET       5    -0.020761  -0.00033435      0.35644      0.52322 GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_ELONGATION
GOBP_NEGATIVE_REGULATION_OF_...670       SET      18     -0.37764    -0.011535      0.17906      0.98252 GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION
GOBP_NEGATIVE_REGULATION_OF_...671       SET     138     0.029081    0.0024519     0.070891      0.34082 GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...672       SET     117      0.01753    0.0013617     0.075154      0.40778 GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...673       SET       6      -0.6178    -0.010899      0.30045      0.98011 GOBP_NEGATIVE_REGULATION_OF_TRANSMISSION_OF_NERVE_IMPULSE
GOBP_NEGATIVE_REGULATION_OF_...674       SET     407     0.022797    0.0032776     0.040858      0.28844 GOBP_NEGATIVE_REGULATION_OF_TRANSPORT
GOBP_NEGATIVE_REGULATION_OF_...675       SET      76     0.053254    0.0033375     0.095594      0.28874 GOBP_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...676       SET       3     -0.37373   -0.0046622      0.53844      0.75618 GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...677       SET       5       -0.687    -0.011064      0.39921      0.95736 GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...678       SET       9     -0.50696    -0.010952      0.27943      0.96517 GOBP_NEGATIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...679       SET       5     -0.37023   -0.0059624      0.32821      0.87034 GOBP_NEGATIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION
GOBP_NEGATIVE_REGULATION_OF_...680       SET       5      0.23487    0.0037825      0.41589      0.28612 GOBP_NEGATIVE_REGULATION_OF_TUBULIN_DEACETYLATION
GOBP_NEGATIVE_REGULATION_OF_...681       SET      22    -0.049152   -0.0016597      0.17387      0.61129 GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...682       SET      59      0.14427    0.0079699      0.09853     0.071574 GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...683       SET      14      0.24593    0.0066258      0.19974      0.10912 GOBP_NEGATIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...684       SET       6     -0.10757   -0.0018976      0.36897      0.61468 GOBP_NEGATIVE_REGULATION_OF_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...685       SET      40     -0.17838   -0.0081179      0.12997      0.91504 GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...686       SET      18    -0.054857   -0.0016756      0.19711      0.60961 GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...687       SET      30      0.16323    0.0064347      0.14812      0.13524 GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...688       SET      11       0.0683    0.0016312      0.22691      0.38171 GOBP_NEGATIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN
GOBP_NEGATIVE_REGULATION_OF_...689       SET      22      0.17002    0.0057407       0.1593      0.14293 GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...690       SET      10       0.4281    0.0097487      0.26346     0.052102 GOBP_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...691       SET      47    -0.023455   -0.0011568      0.11456      0.58111 GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...692       SET      10     -0.49644    -0.011305      0.27242      0.96579 GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS
GOBP_NEGATIVE_REGULATION_OF_...693       SET      10     -0.42436   -0.0096636      0.28614      0.93096 GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY
GOBP_NEGATIVE_REGULATION_OF_...694       SET      26    -0.031475   -0.0011553      0.16096      0.57752 GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY
GOBP_NEGATIVE_REGULATION_OF_...695       SET       6      0.02369   0.00041791      0.34125      0.47233 GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION
GOBP_NEGATIVE_REGULATION_OF_...696       SET      68     0.012545   0.00074385      0.09828      0.44921 GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...697       SET      23     0.052031    0.0017963       0.1498      0.36417 GOBP_NEGATIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...698       SET      11       0.1198    0.0028612      0.20815      0.28246 GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...699       SET       7      0.17038    0.0032464      0.28262       0.2733 GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...700       SET      17      0.19034    0.0056505      0.17759       0.1419 GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...701       SET      45     0.059168    0.0028556      0.11194      0.29855 GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...702       SET      12      0.22195    0.0055364      0.24253      0.18006 GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...703       SET      22    -0.015601  -0.00052677      0.15977      0.53889 GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...704       SET       3       1.6082     0.020062      0.44271   0.00014072 GOBP_NEGATIVE_REGULATION_OF_URINE_VOLUME
GOBP_NEGATIVE_REGULATION_OF_...705       SET       3       0.1303    0.0016255      0.41287      0.37615 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...706       SET       8     -0.10795   -0.0021988      0.31151      0.63553 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...707       SET      12     -0.29536   -0.0073676      0.21898      0.91129 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION
GOBP_NEGATIVE_REGULATION_OF_...708       SET      23     -0.29216    -0.010086      0.16892      0.95813 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...709       SET       5    -0.003133  -5.0456e-05        0.324      0.50386 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION
GOBP_NEGATIVE_REGULATION_OF_...710       SET      11      0.13667    0.0032641      0.26021      0.29972 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...711       SET      17      0.15469    0.0045919      0.20459      0.22481 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY
GOBP_NEGATIVE_REGULATION_OF_...712       SET       5    -0.059433  -0.00095713      0.32352      0.57288 GOBP_NEGATIVE_REGULATION_OF_VASCULAR_WOUND_HEALING
GOBP_NEGATIVE_REGULATION_OF_...713       SET      94      0.17472     0.012172      0.08348     0.018185 GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT
GOBP_NEGATIVE_REGULATION_OF_...714       SET       8      0.56678     0.011545      0.30696     0.032424 GOBP_NEGATIVE_REGULATION_OF_VASOCONSTRICTION
GOBP_NEGATIVE_REGULATION_OF_...715       SET      21     0.086705    0.0028604      0.17699      0.31211 GOBP_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL
GOBP_NEGATIVE_REGULATION_OF_...716       SET      53     0.052177    0.0027323      0.11977      0.33155 GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION
GOBP_NEGATIVE_REGULATION_OF_...717       SET      18      0.23979    0.0073244      0.18863      0.10184 GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...718       SET      24      0.11896    0.0041952      0.16926      0.24108 GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE
GOBP_NEGATIVE_REGULATION_OF_...719       SET      85   -0.0075151  -0.00049796     0.089794      0.53335 GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...720       SET      14     -0.28754   -0.0077468      0.17634       0.9485 GOBP_NEGATIVE_REGULATION_OF_VIRAL_TRANSCRIPTION
GOBP_NEGATIVE_REGULATION_OF_...721       SET       5    -0.025782  -0.00041521      0.38054      0.52701 GOBP_NEGATIVE_REGULATION_OF_VITAMIN_D_BIOSYNTHETIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...722       SET       7    -0.050306  -0.00095853      0.31422       0.5636 GOBP_NEGATIVE_REGULATION_OF_VITAMIN_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...723       SET      16      0.17517    0.0050449      0.18913      0.17718 GOBP_NEGATIVE_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...724       SET      11     -0.11937   -0.0028508       0.2847      0.66249 GOBP_NEGATIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...725       SET     162    -0.015289   -0.0013958     0.062771      0.59622 GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...726       SET       7     -0.55061    -0.010491      0.35127      0.94149 GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT
GOBP_NEGATIVE_REGULATION_OF_...727       SET      71    0.0060549   0.00036681     0.092556      0.47392 GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING
GOBP_NEGATIVE_T_CELL_SELECTI...          SET      12      -0.1601   -0.0039936      0.23828      0.74917 GOBP_NEGATIVE_T_CELL_SELECTION
GOBP_NEPHRIC_DUCT_DEVELOPMENT            SET      13     -0.18656   -0.0048435      0.21833      0.80358 GOBP_NEPHRIC_DUCT_DEVELOPMENT
GOBP_NEPHRIC_DUCT_FORMATION              SET       4     -0.38898   -0.0056031      0.45111      0.80573 GOBP_NEPHRIC_DUCT_FORMATION
GOBP_NEPHRIC_DUCT_MORPHOGENE...          SET       9     -0.32169   -0.0069498      0.30616       0.8533 GOBP_NEPHRIC_DUCT_MORPHOGENESIS
GOBP_NEPHRON_DEVELOPMENT                 SET     144     0.025795    0.0022213     0.068381        0.353 GOBP_NEPHRON_DEVELOPMENT
GOBP_NEPHRON_EPITHELIUM_DEVE...          SET     108    0.0097022   0.00072423     0.079932       0.4517 GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT
GOBP_NEPHRON_MORPHOGENESIS               SET      74    0.0082449   0.00050989     0.095485       0.4656 GOBP_NEPHRON_MORPHOGENESIS
GOBP_NEPHRON_TUBULE_EPITHELI...          SET      12    -0.025189  -0.00062832      0.24731      0.54056 GOBP_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION
GOBP_NEPHRON_TUBULE_FORMATION            SET      19    -0.076077   -0.0023874       0.2067      0.64358 GOBP_NEPHRON_TUBULE_FORMATION
GOBP_NERVE_DEVELOPMENT                   SET      87     0.076974    0.0051598      0.09145      0.19998 GOBP_NERVE_DEVELOPMENT
GOBP_NERVE_GROWTH_FACTOR_SIG...          SET      12     -0.45075    -0.011244      0.23103      0.97447 GOBP_NERVE_GROWTH_FACTOR_SIGNALING_PATHWAY
GOBP_NERVOUS_SYSTEM_PROCESS              SET    1386     0.031382    0.0081073     0.023935     0.094912 GOBP_NERVOUS_SYSTEM_PROCESS
GOBP_NERVOUS_SYSTEM_PROCESS_...          SET      10    -0.056899   -0.0012957      0.27118      0.58309 GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE
GOBP_NETRIN_ACTIVATED_SIGNAL...          SET       9     -0.14534   -0.0031399      0.25527      0.71544 GOBP_NETRIN_ACTIVATED_SIGNALING_PATHWAY
GOBP_NEURAL_CREST_CELL_DIFFE...          SET      93      -0.1371   -0.0095005      0.08502      0.94657 GOBP_NEURAL_CREST_CELL_DIFFERENTIATION
GOBP_NEURAL_CREST_CELL_FATE_...          SET       6      0.28085    0.0049544      0.35469      0.21424 GOBP_NEURAL_CREST_CELL_FATE_COMMITMENT
GOBP_NEURAL_CREST_CELL_MIGRA...          SET       6     -0.18666   -0.0032928      0.33272       0.7126 GOBP_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT
GOBP_NEURAL_CREST_FORMATION              SET      15     -0.02458  -0.00068544      0.20652      0.54737 GOBP_NEURAL_CREST_FORMATION
GOBP_NEURAL_FOLD_FORMATION               SET       7      0.32099    0.0061161      0.29322      0.13683 GOBP_NEURAL_FOLD_FORMATION
GOBP_NEURAL_NUCLEUS_DEVELOPM...          SET      60   -0.0028039   -0.0001562      0.10636      0.51052 GOBP_NEURAL_NUCLEUS_DEVELOPMENT
